Atri;HEROES;FOR_TIME;"12-9-6 Reps For Time

Deadlifts (275/185 lb)
Bench Presses (185/105 lb)
Chest-to-Bar Pull-Ups"
McDonald & Galagher;HEROES;FOR_TIME;"2 Rounds for Time

200 meter Run
16 Kettlebell Swings (53/35 lb)
16 Pull-Ups
16 Front Squats (110/70 lb)
200 meter Run
14 Kettlebell Swings (53/35 lb) 
14 Pull-Ups
14 Front Squats (110/70 lb)
200 meter Run
12 Kettlebell Swings (53/35 lb)
12 Pull-Ups
12 Front Squats (110/70 lb)"
Regionals 9.3 (Hell's Half Acre);QUALIFIER;FOR_TIME;"21-15-9 Reps for Time

Box Jumps (24/20 in)
Kettlebell Swings (53/35 lb)
Sumo Deadlift High-Pulls (95/65 lb)"
Satan's Whiskers;BENCHMARK;FOR_TIME;"3 Rounds for Time

10 Chest-to-Bar Pull-Ups
10 Front Squats (165/115 lb)
10 Burpees"
Brandon's Bad Day;BENCHMARK;FOR_TIME;"3 Rounds for Time

15 Overhead Squats (95/65 lb)
15 L-Pull-Ups
15 Split Jerks (95/65 lb)
15 Knees-to-Elbows
15 Squat Hang Cleans (95/65 lb)
15 Back Extensions (25/10 lb plate)"
Regionals 9.1 (Hell's Half Acre);QUALIFIER;FOR_TIME;"3 Rounds for Time

500 meter Row
10 Squat Clean and Jerks (155/105 lb)"
Up & Over;BENCHMARK;FOR_TIME;"5 Rounds for Time

15 Deadlifts (155/105 lb)
10 Bar-Over Burpees
5 Power Cleans (155/105 lb)"
Freddy's Revenge;BENCHMARK;FOR_TIME;"5 Rounds for Time

5 Shoulder-to-Overheads (185/135 lb)
10 Burpees"
Froning's Wedding Day;BENCHMARK;FOR_TIME;"6 Rounds for Time

3 Squat Snatches (185/135 lb)
6 Overhead Squats (185/135 lb)
9 Chest-to-Bar Pull-Ups"
Gerry's Ladder;BENCHMARK;FOR_ROUNDS_REPS;"AMRAP (with a Partner) in 15 minutes

20 Deadlifts (275/185 lb)
40 Power Cleans (185/135 lb)
60 Wall Ball Shots (20/14 lb)
80 American Kettlebell Swings (70/53 lb)
100 Double-Unders

If you complete the ascending ladder, repeat in reverse"
Valentine's Day (Malibu);BENCHMARK;FOR_ROUNDS_REPS;"AMRAP (with a Partner) in 15 minutes

From 0:00-4:00:
Max Hand-Release Push-Ups
Max Kettlebell Sumo Deadlift High-Pulls (24/18 kg)
(alternate between movements, switch as desired)

1 minute Rest

From 5:00-8:00:
Max Synchronized Air Squats (partners grip wrists)

1 minute Rest

From 9:00-11:00:
Partner A Max Row (calories)
Partner B run 400 meters

From 11:00-13:00:
Partner B Max Row (calories)
Partner A run 400 meters

Finally, from 13:00-15:00:
Max Pull-Ups (partners alternate each minute)"
Regionals 10.1 & 10.2 (Europe);QUALIFIER;FOR_ROUNDS_REPS;"AMRAP in 15 minutes

Distance Run

Then,
Max Ground-to-Overheads (70/50 kg) (anyhow)"
Death By...Anything;BENCHMARK;FOR_ROUNDS_REPS;"EMOM For as Long as Possible

1 Rep in the first minute
2 Rep in the second minute
3 Rep in the third minute
etc."
What's Your Game Plan?;BENCHMARK;FOR_ROUNDS_REPS;"For Load and Reps in 10 minutes

From 0:00-8:00, Establish a Max Weight for the Complex:
2 Hang Squat Cleans
2 Shoulder-to-Overhead

Then from 8:00-10:00:
30 seconds Rest
90 seconds Max Bar Muscle-Ups"
WZA Online Challenge 17.3 &17.4;QUALIFIER;FOR_ROUNDS_REPS;"For Load and Reps in 19 minutes

From 0:00-5:00:
Find 1-Rep Max Snatch

From 5:00-14:00, AMRAP:
3 Power Snatches (75/55 lbs)
3 Box Jumps (24/20 in)
6 Power Snatches (75/55 lbs)
6 Box Jumps (24/20 in)
9 Power Snatches (75/55 lbs)
9 Box Jumps (24/20 in)
Increasing each round by 3 reps each movement

From 14:00-19:00:
Find 1-Rep Max Snatch"
WZA Beauty & the Beast;BENCHMARK;FOR_TIME;"For Time

(WOD 4) 30 Clean-and-Jerks (205/145 lb)

Then, (WOD 5) at the 6:00 mark:
36 Strict Handstand Push-Ups
36 Calorie Row
24 Axel Hang Power Snatches (105/75 lb)
24 Bar-Facing Burpees
12 Overhead Squats (205/145 lb)
12 Bar Muscle-ups"
Open 18.2 & 18.2 A;QUALIFIER;FOR_TIME;"For Time

1-2-3-4-5-6-7-8-9-10 Reps of:
Dumbbell Squats (2 x 50/35 lb)
Bar-Facing Burpees

Then, ""18.2 A""
1 rep max Clean

Time Cap: 12 minutes"
It's a Trap!;BENCHMARK;FOR_TIME;"For Time

100 Burpees

200 meter Run to start, then again every 2 minutes"
Row 1 & Row 2;QUALIFIER;FOR_TIME;"For Time

21,097 meter Row

Time Cap: 2 hours for Men, 2 hours 10 minutes for Women"
Valentine's Day (Brier Creek);BENCHMARK;FOR_TIME;"For Time

30 Partner Burpees
100 Wall Ball Shots (20/14 lb)
100 Pull-Ups
200 Double-Unders
4 Rope Climbs (20 ft)

Then, 4 Rounds of: 
15 Thrusters (45/35 lb)
15 Kettlebell Swings(53/35 lb)
15 Box Jumps (24/20 in)"
12/31 (New Year's Eve);BENCHMARK;FOR_TIME;"For Time

31 Push Press (75/55 lb)
31 Pull-Ups
31 Snatches (75/55 lb)
31 Sit-Ups
31 Toes-to-Bar
31 Push-Ups
31 Box Jumps (24/20 in)
31 Back Squats (75/55 lb)
31 Unbroken Double-Unders
31 Thrusters (75/55 lb)
31 Lunges
31 Burpees

Then, 365 meter Row"
Thick 'N Quick;QUALIFIER;FOR_TIME;"For Time

4 Rope Climbs 
3 Overhead Squats (245/ 165 lb)

Time Cap: 4 minutes"
WZA ROMWOD Up & Down Dog Chipper;QUALIFIER;FOR_TIME;"For Time

40 Wall Ball Shots (30/20 lb)
30 Toes-to-Bars 
20 Burpee Box Jump-Overs (24/20 in)
30 Toes-to-Bars
40 Wall Ball Shots (30/20 lb)"
WZA Peak 360 Pull & Push;QUALIFIER;FOR_TIME;"For Time

45 Pull-Ups
100 foot Sled Push
30 Chest-to-Bar Pull-Ups
100 foot Sled Push
15 Bar Muscle-Ups
100 foot Sled Push

Time Cap: 7 minutes"
Regionals 9.2 (Hell's Half Acre);QUALIFIER;FOR_TIME;"For Time

50 Chest-to-Bar Pull-Ups
50 Burpees"
50's Chipper;QUALIFIER;FOR_TIME;"For Time

50 Wall Ball Shots (20/14 lb, 10/9 ft)
50 Dumbbell Snatches (70/50 lb) (alternating)
50 Pistols (alternating)
50 Chest-to-Bar Pull-Ups"
Pendleton 1 & Pendleton 2;QUALIFIER;FOR_TIME;"For Time

700 meter Swim
8 km Bike
11 km Run"
Valentine's Day (Rec Center);BENCHMARK;FOR_TIME;"For Time

Complete the following with one partner working at a time. Alternate as needed, but do not share movements.

Partner 1:
50 Box Jumps (24/20 in)
50 Kettlebell Swings (55/35 lb)
50 AbMat Sit-Ups
50 Deadlifts (155/115 lb)
50 Burpees

Partner 2:
50 Pull-Ups
50 Overhead Lunges (45/25 lb Plate)
50 Hand Release Push-Ups
50 Wall Ball Shots (20/14 lb)
50 Double-Unders

Buy-In and Cash-Out: 
200 meter Partner Carry"
Dougie & Leon;HEROES;FOR_TIME;"For Time (with a Partner)

400 meter Run with Deadball (20/15 kg)

Then 5 rounds of:
40 Ball Slams (20/15 kg)
2 Tuck Jumps
40 Pull-Ups
40 Power Cleans (40/60 kg)
40 Push-Ups
40 Shoulder-to-Overhead (40/60 kg)
100 meter Run

Then:
400 meter Run with Deadball (20/15 kg) "
Jordy's Goodbye;BENCHMARK;FOR_TIME;"For Time (with a Partner)

800 meter Farmer Carry (24/16kg)
100 Air Squats / Plank Hold
90 Pull-Ups / Superman Hold
80 Sit-Ups / Wall Sit Hold
70 Burpees / Hang Hold
60 Hand-Release Push-Ups / Handstand Hold
50 Buddy Deadlifts (100/70 kg)
400 meter Farmer Carry (24/16 kg)"
Wesley's WOD;BENCHMARK;FOR_TIME;"For Time (with a Partner)

Buy-In:
56 Box Jump-Overs (split with partner)

Then, 22 rounds of:
5 Handstand Push-Ups
27 Double-Unders
3 Power Cleans (105/155 lb)

Cash-Out:
1108 meter Run (together)"
Open 15.1 & 15.1A;QUALIFIER;FOR_ROUNDS_REPS;"Two Parts in 15 minutes

(15.1) AMRAP in 9 minutes
15 Toes-to-Bars
10 Deadlifts (115/75 lb)
5 Snatches (115/75 lb)

Then (""15.1A""), from 9:00-15:00
1-Rep-Max Clean-and-Jerk"
Scooter;HEROES;FOR_LOAD;"With a Running Clock in 35 minutes

First, AMRAP in 30 minutes (with a Partner)
30 Double-Unders
15 Pull-Ups
15 Push-Ups
100 meter Sprint

Partners alternate rounds

Then, 5 minutes to find a 1-rep-max Partner Deadlift"
Gregg Atlas;HEROES;FOR_LOAD;"For Time

10,000 lb Cumulative Back Squats

20 Burpees each time you rack the bar"
Bear Complex;BENCHMARK;FOR_LOAD;"5 Rounds For Load

Complete 7 Unbroken Sets of this Complex:
1 Power Clean 
1 Front Squat
1 Push Press
1 Back Squat
1 Push Press"
CrossFit Total;BENCHMARK;FOR_LOAD;"Sum of the Best of Each Lift

Back Squat
Shoulder Press
Deadlift"
Big Clean Complex;BENCHMARK;FOR_LOAD;"6 Sets for Max Load

High Hang Clean + Hang Clean + Clean + Push Press
High Hang Clean + Hang Clean + Clean + Push Jerk
High Hang Clean + Hang Clean + Clean + Split Jerk"
CrossFit Football Total;BENCHMARK;FOR_LOAD;"For Load

1 rep max Power Clean
1 rep max Back Squat
1 rep max Bench Press
1 rep max Deadlift"
CrossFit Total II;BENCHMARK;FOR_LOAD;"Sum of the Best of Each Lift

Clean
Bench Press
Overhead Squat"
Dan;BENCHMARK;FOR_LOAD;"4 Rounds for Load and Time

21 Overhead Squats
400 meter Run"
More WODs;BENCHMARK;FOR_LOAD;"Thousands More
Workouts and
Daily Inspiration"
Game Plan;BENCHMARK;FOR_LOAD;"Every 2 Minutes in 10 minutes

1 Hang Squat Snatch
2 Overhead Squats

Work up to a max weight"
What's Your Game Plan?;BENCHMARK;FOR_LOAD;"For Load and Reps in 10 minutes

From 0:00-8:00, Establish a Max Weight for the Complex:
2 Hang Squat Cleans
2 Shoulder-to-Overhead

Then from 8:00-10:00:
30 seconds Rest
90 seconds Max Bar Muscle-Ups"
WZA Triple Finale;BENCHMARK;FOR_LOAD;"With a Running Clock in 12 minutes

400 meter Sprint
30 Squat Cleans (135/95 lb)
20/15 Ring Muscle-ups

With remaining time find a:
1 Rep Max Snatch"
Open 18.2 &;QUALIFIER;FOR_LOAD;"For Time

1-2-3-4-5-6-7-8-9-10 Reps of:
Dumbbell Squats (2 x 50/35 lb)
Bar-Facing Burpees

Then, ""18.2 A""
1 rep max Clean

Time Cap: 12 minutes"
Open 15.1 &;QUALIFIER;FOR_LOAD;"Two Parts in 15 minutes

(15.1) AMRAP in 9 minutes
15 Toes-to-Bars
10 Deadlifts (115/75 lb)
5 Snatches (115/75 lb)

Then (""15.1A""), from 9:00-15:00
1-Rep-Max Clean-and-Jerk"
ECC Qualifiers 15.1;QUALIFIER;FOR_LOAD;"With a Running Clock

AMRAP in 5 Minutes (from 0:00-5:00):
10 Bar-Facing Burpees
15 Thrusters (95/65 lb)
20 Chest-to-Bar Pull-Ups

Then, 5 Minutes (from 5:00-10:00) to Establish:
5 Rep Max Low Hang Snatch

Then, For Time (starting at 10:00):
25 Overhead Squats (135/95 lb)
75 Double-Unders
25 calorie Row
75 Double-Unders
25 Overhead Squats (135/95 lb)"
ECC Qualifiers 15.2;QUALIFIER;FOR_LOAD;"With a Running Clock

AMRAP in 5 minutes (from 0:00-5:00)
5 Bar Muscle-Ups
5 Squat Cleans (155/105 lb)
5 Box Jumps (40/30 in)

Then, 5 Minutes (from 5:00-10:00) to Establish:
Max Load Complex of
1 Clean
1 Hang Squat Clean
1 Front Squat
1 Jerk

Then, For Time (starting at 10:00):
18-12-6 Repetitions of 
Deadlifts (275/185 lb)
Strict Handstand Push-Ups"
Regionals 9.2 (Northwest);QUALIFIER;FOR_LOAD;"For Load

Max Deadlift"
Regionals 11.2;QUALIFIER;FOR_LOAD;"For Load

Thruster Ladder

Men: 155, 165, 175, 185, 195, 205, 215, 225, 235, 245, 255, 265, 275, 285, 295 lb

Women: 105, 115, 125, 130, 135, 140, 145, 150, 155, 160, 165, 170, 175, 180, 185 lb"
GG Qualifier 15.2;QUALIFIER;FOR_LOAD;"With a Running Clock in 20 minutes

From 0:00-6:00:
Establish a 1-Rep Max Snatch

From 6:00-14:00 AMRAP:
30 Double-Unders
15 Chest-to-Bar Pull-ups
30 Double-Unders
15 Toes-to-Bar

From 14:00-20:00:
Establish a 1-Rep Max Snatch"
GG Qualifier 18.1;QUALIFIER;FOR_LOAD;"Complete as much as possible in 14 minutes

15 Burpees Over Concept 2 Erg
40/30 Calorie Row
15 Burpees Over Concept 2 Erg
40/30 Calorie Row
15 Burpees Over Concept 2 Erg

In the remaining time:
Establish a 1-RM Snatch"
Team Series 17.7;QUALIFIER;FOR_LOAD;"For Max/Reps in 20 minutes

Partner 1:
0:00-2:00 Handstand Push-Ups
2:00-4:00 Rest
4:00-6:00 Double-Unders
6:00-8:00 Rest
8:00-10:00 1-Rep-Max Back Squat

Then, Partner 2:
10:00-12:00 1-Rep-Max Back Squat
12:00-14:00 Rest
14:00-16:00 Double-Unders
16:00-18:00 Rest
18:00-20:00 Handstand Push-Ups"
WZA Online Challenge 17.1;QUALIFIER;FOR_LOAD;"6 Reps For Load

1 Clean
1 Front Squat
1 Shoulder-to-Overhead
1 Back Squat
1 Shoulder-to-Overhead"
Regionals 9.1 (Canada East);QUALIFIER;FOR_LOAD;"For Load

1 rep max Deadlift"
Regionals 9.1 (Northwest);QUALIFIER;FOR_LOAD;"For Load

Max Clean and Press"
